features,locale,image,retailer_key,site,shippingphrase,results_per_page,is_single_result,search_term,unspec,sku,productstockstatus,unspsc,shiptostore,condition,currencycode,ranking,ean,mpn,price,brand,saleprice,gallery,categories,manufacturer,publisher,name,total_matches,upc,instore,scraped_results_per_page,link,model
,en-US,https://www.staples-3p.com/s7/is/image/Staples/m000019948_sc7?$splssku$,80888,staples.com,,36,,bag,,80888,1,,1,1,USD,21,,,12.99,,12.99,"https://www.staples-3p.com/s7/is/image/Staples/m000019948_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m000019948_sc7?$thb$","Home, Retail Store Supplies, Retail Packaging, Boxes & Bags",Package-360,,"Polyethylene 12""H x 9""W High Density Merchandise Bags, Multicolor, 120/Pack",66,000000000000,1,36,https://www.staples.com/polyethylene-12-h-x-9-w-high-density-merchandise-bags-multicolor-120-pack/product_80888,53-0912-ASMT
,en-US,https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$splssku$,521029,staples.com,,36,,bag,,521029,1,,1,1,USD,1,,,9.19,,9.19,"https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081386_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1001909_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081386_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1001909_sc7?$thb$","Home, Shipping, Packing & Mailing Supplies, Shipping & Packing, Packing Peanuts & Bubble Rolls",staples,,"Bubble Bags, 13-1/2""x13-1/2"", 6/Pack (27180-US/CC)",66,075353111994,1,36,https://www.staples.com/Bubble-Bags-13-1-2-x13-1-2-6-Pack-27180-US-CC/product_521029,27180-US/CC
,en-US,https://www.staples-3p.com/s7/is/image/Staples/s1019453_sc7?$splssku$,354596,staples.com,,36,,bag,,354596,1,,1,1,USD,27,,,10.99,,10.99,"https://www.staples-3p.com/s7/is/image/Staples/s1019453_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018709_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1019452_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1019453_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018709_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1019452_sc7?$thb$","Home, Coffee, Water & Snacks, Candy, Gum & Mints, Gum & Mints",LifeSavers,,"Lifesavers® Pep-O-Mint, 41 oz. Bag",66,019000170309,1,36,https://www.staples.com/Lifesavers-Pep-O-Mint-41-oz-Bag/product_354596,LIFEPEP6/WMW227
,en-US,https://www.staples-3p.com/s7/is/image/Staples/m000012528_sc7?$splssku$,79187,staples.com,,36,,bag,,79187,1,,1,1,USD,20,,,43.49,,43.49,"https://www.staples-3p.com/s7/is/image/Staples/m000012528_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m000012528_sc7?$thb$","Home, Retail Store Supplies, Retail Packaging, Boxes & Bags",Package-360,,"Paper 8-1/4""W x 4-3/4""D x 10-1/2""H Cub Shopper Bags, Kraft, 250/Pack",66,000000000000,1,36,https://www.staples.com/Paper-8-1-4-W-x-4-3-4-D-x-10-1-2-H-Cub-Shopper-Bags-Kraft-250-Pack/product_79187,15-8
,en-US,https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$splssku$,482998,staples.com,,36,,bag,,482998,1,,1,1,USD,23,,,25.99,,25.99,"https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690748_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690749_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690750_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690746_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018180_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1027122_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690748_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690749_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690750_sc7?$thb$,https://www.staples-3p.com/s7/ifeatures,locale,image,retailer_key,site,shippingphrase,results_per_page,is_single_result,search_term,unspec,sku,productstockstatus,unspsc,shiptostore,condition,currencycode,ranking,ean,mpn,price,brand,saleprice,gallery,categories,manufacturer,publisher,name,total_matches,upc,instore,scraped_results_per_page,link,model
,en-US,https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$splssku$,521029,staples.com,,36,,bag,,521029,1,,1,1,USD,1,,,9.19,,9.19,"https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081386_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1001909_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0976133_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081386_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1001909_sc7?$thb$","Home, Shipping, Packing & Mailing Supplies, Shipping & Packing, Packing Peanuts & Bubble Rolls",staples,,"Bubble Bags, 13-1/2""x13-1/2"", 6/Pack (27180-US/CC)",66,075353111994,1,36,https://www.staples.com/Bubble-Bags-13-1-2-x13-1-2-6-Pack-27180-US-CC/product_521029,27180-US/CC
"[{u'Width': u'4""'}]",en-US,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$splssku$,698699,staples.com,,36,,bag,,698699,1,,1,1,USD,17,,,38.99,,38.99,"https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0081387_sc7?$thb$","Home, Shipping, Packing & Mailing Supplies, Shipping & Packing, Packing Peanuts & Bubble Rolls",staples,,Polyair Packaging Open-End Bubble Bags 6'' X 4'',66,077134229253,1,36,https://www.staples.com/polyair-packaging-open-end-bubble-bags-6-x-4/product_698699,80-0406-O
,en-US,https://www.staples-3p.com/s7/is/image/Staples/s1072976_sc7?$splssku$,2431826,staples.com,,36,,bag,,2431826,1,,1,1,USD,25,,,49.99,,49.99,"https://www.staples-3p.com/s7/is/image/Staples/s1072976_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1072976_sc7?$thb$","Home, Expanded Assortment, Luggage, Totes & Travel Accessories, Totes & Handbags",Martha Stewart,,"Office by Martha Stewart™ Tote Bag, Black (50436)",66,718103265799,1,36,https://www.staples.com/Office-by-Martha-Stewart-Tote-Bag-Black-50436/product_2431826,50436 - US
,en-US,https://www.staples-3p.com/s7/is/image/Staples/s0238485_sc7?$splssku$,918325,staples.com,,36,,bag,,918325,1,,1,1,USD,16,,,7.99,,7.99,"https://www.staples-3p.com/s7/is/image/Staples/s0238485_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s0238485_sc7?$thb$","Home, Cleaning Supplies & Facilities Maintenance, Waste & Recycling, Trash Bags",Brighton Professional,,"Brighton Professional&trade; Trash Bags, 13 Gallon, 80 Bags/Box",66,718103151528,1,36,https://www.staples.com/Brighton-Professional-Trash-Bags-13-Gallon-80-Bags-Box/product_918325,51247-CC/20962
,en-US,https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$splssku$,482998,staples.com,,36,,bag,,482998,1,,1,1,USD,23,,,25.99,,25.99,"https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690748_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690749_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690750_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690746_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018180_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1027122_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690747_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690748_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690749_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690750_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690746_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018180_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1027122_sc7?$thb$","Home, Cleaning Supplies & Facilities Maintenance, Waste & Recycling, Trash Bags",Glad,,"Glad&reg; Drawstring Trash Bags, Black, 30 Gallon, 90 Bags/Box",66,012587703137,1,36,https://www.staples.com/gladreg-drawstring-trash-bags-black-30-gallon-90-bags-box/product_482998,27027
,en-US,https://www.staples-3p.com/s7/is/image/Staples/m005690760_sc7?$splssku$,595555,staples.com,,36,,bag,,595555,1,,1,1,USD,33,,,15.99,,15.99,"https://www.staples-3p.com/s7/is/image/Staples/m005690760_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690761_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690762_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690763_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690759_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1083102_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018182_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1027130_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690760_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690761_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690762_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690763_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/m005690759_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1083102_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1018182_sc7?$thb$,https://www.staples-3p.com/s7/is/image/Staples/s1027130_sc7?$thb$","Home, Cleaning Supplies & Facilities Maintenance, Waste & Recycling, Trash Bags",Glad,,"Glad® ForceFlex&reg; Tall Kitchen Drawstring Trash Bags, 13 Gallon, 100 Bags/Box",66,001258703585,1,36,https://www.staples.com/Glad-ForceFlex-Tall-Kitchen-Drawstring-Trash-Bags-13-Gallon-100-Bags-Box/product_595555,70427
